QGPIORecord, QRC v6.1.0, 14-11-2021 @ 14:08:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
528280, 0.0350624, 3.50624, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528290, 0.101681, 6.66186, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528301, 0.182325, 8.05734, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528311, 0.269981, 8.75859, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528320, 0.35413, 8.42901, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528330, 0.441786, 8.74457, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528340, 0.525936, 8.43251, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528351, 0.613592, 8.74807, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528360, 0.708261, 9.8315, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528370, 0.809942, 9.81748, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528380, 0.915129, 10.5047, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528391, 1.02032, 10.5117, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528400, 1.12901, 10.8623, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528410, 1.2377, 10.8764, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528420, 1.3499, 11.2095, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528431, 1.4621, 11.2375, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528441, 1.5743, 11.2095, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528450, 1.683, 10.8693, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528460, 1.7952, 11.22, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528471, 1.9109, 11.5776, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528481, 2.0231, 11.1989, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528490, 2.1353, 11.227, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528500, 2.2475, 11.22, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528510, 2.36321, 11.5566, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528521, 2.47541, 11.5881, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528530, 2.59462, 11.5636, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
