QGPIORecord, QRC v6.1.0, 07-12-2021 @ 11:39:00, Windows 10 Version 2009, 10.0.19042, x86_64
Time, ra, va, VoltageState, rb, vb, ia, ib, volta, voltb, ValueIn9, ValueIn10, ValueIn11
69580, 0.205966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69591, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69600, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69610, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69620, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69630, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69640, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69650, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69660, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69670, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69680, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69690, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69700, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69710, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69721, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69730, 0.205966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69740, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69750, 0.210684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69761, 0.209086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
