QGPIORecord, QRC v6.1.0, 20-11-2021 @ 13:51:24, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, PositionB, VelocitiyB, CurrentA, CurrentB, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
579110, 8.26071, 24.1826, 1, 8.01527, 23.8319, 0.0685454, 0.0774861, 0, 0, 0, 0, 0
579121, 8.50264, 24.2316, 1, 8.2572, 24.2106, 0.0715256, 0.0745059, 0, 0, 0, 0, 0
579130, 8.74457, 24.1615, 1, 8.49913, 24.1931, 0.0685454, 0.0745059, 0, 0, 0, 0, 0
579140, 8.9865, 24.5507, 1, 8.74106, 24.1931, 0.0715256, 0.0655652, 0, 0, 0, 0, 0
579150, 9.23193, 24.2211, 1, 8.98299, 24.5507, 0.0685454, 0.0625849, 0, 0, 0, 0, 0
579161, 9.47387, 24.4841, 1, 9.22843, 24.151, 0.0685454, 0.0596047, 0, 0, 0, 0, 0
579170, 9.7193, 24.1931, 1, 9.47387, 24.5717, 0.0685454, 0.0596047, 0, 0, 0, 0, 0
579180, 9.96123, 24.2386, 1, 9.7158, 24.1931, 0.0685454, 0.0625849, 0, 0, 0, 0, 0
579190, 10.2067, 24.5227, 1, 9.95773, 24.1931, 0.0655652, 0.0655652, 0, 0, 0, 0, 0
579201, 10.4521, 24.5507, 1, 10.2032, 24.5507, 0.0566245, 0.0596047, 0, 0, 0, 0, 0
579211, 10.6975, 24.4946, 1, 10.4451, 24.5227, 0.0596047, 0.0596047, 0, 0, 0, 0, 0
579220, 10.943, 24.6208, 1, 10.6905, 24.2106, 0.0596047, 0.0625849, 0, 0, 0, 0, 0
